tripID,description,feature
609,46,Outside Temperature:
609,172,Total Passenger Weight:
609,75,Total Cargo Weight:
609,29,Tire Pressure:
609,30.03,Frontal Area of Car:
613,42,Outside Temperature:
613,172,Total Passenger Weight:
613,40,Total Cargo Weight:
613,29,Tire Pressure:
613,30.03,Frontal Area of Car:
438,41,Outside Temperature:
438,250,Total Passenger Weight:
438,0,Total Cargo Weight:
438,29,Tire Pressure:
438,29.28,Frontal Area of Car:
439,49,Outside Temperature:
439,250,Total Passenger Weight:
439,0,Total Cargo Weight:
439,29,Tire Pressure:
439,29.28,Frontal Area of Car:
10,74,Outside Temperature:
10,150,Total Passenger Weight:
10,150,Total Cargo Weight:
10,44,Tire Pressure:
10,30.13,Frontal Area of Car:
602,58,Outside Temperature:
602,200,Total Passenger Weight:
602,15,Total Cargo Weight:
602,30,Tire Pressure:
602,26.91,Frontal Area of Car:
599,32,Outside Temperature:
599,200,Total Passenger Weight:
599,10,Total Cargo Weight:
599,30,Tire Pressure:
599,26.91,Frontal Area of Car:
147,60,Outside Temperature:
147,285,Total Passenger Weight:
147,0,Total Cargo Weight:
147,40,Tire Pressure:
147,30.19,Frontal Area of Car:
155,99,Outside Temperature:
155,200,Total Passenger Weight:
155,0,Total Cargo Weight:
155,9,Tire Pressure:
155,30.03,Frontal Area of Car:
666,27,Outside Temperature:
666,160,Total Passenger Weight:
666,10,Total Cargo Weight:
666,32,Tire Pressure:
666,26.91,Frontal Area of Car:
646,66,Outside Temperature:
646,154,Total Passenger Weight:
646,10,Total Cargo Weight:
646,35,Tire Pressure:
646,18.3,Frontal Area of Car:
287,38,Outside Temperature:
287,250,Total Passenger Weight:
287,0,Total Cargo Weight:
287,30,Tire Pressure:
287,26.91,Frontal Area of Car:
548,25,Outside Temperature:
548,160,Total Passenger Weight:
548,10,Total Cargo Weight:
548,30,Tire Pressure:
548,26.91,Frontal Area of Car:
549,17,Outside Temperature:
549,160,Total Passenger Weight:
549,10,Total Cargo Weight:
549,30,Tire Pressure:
549,26.91,Frontal Area of Car:
661,64,Outside Temperature:
661,154,Total Passenger Weight:
661,10,Total Cargo Weight:
661,35,Tire Pressure:
661,18.3,Frontal Area of Car:
531,52,Outside Temperature:
531,400,Total Passenger Weight:
531,10,Total Cargo Weight:
531,missing,Tire Pressure:
531,29.28,Frontal Area of Car:
289,49,Outside Temperature:
289,200,Total Passenger Weight:
289,25,Total Cargo Weight:
289,missing,Tire Pressure:
289,26.91,Frontal Area of Car:
403,56,Outside Temperature:
403,165,Total Passenger Weight:
403,10,Total Cargo Weight:
403,missing,Tire Pressure:
403,28.63,Frontal Area of Car:
405,34,Outside Temperature:
405,325,Total Passenger Weight:
405,20,Total Cargo Weight:
405,missing,Tire Pressure:
405,28.63,Frontal Area of Car:
530,51,Outside Temperature:
530,400,Total Passenger Weight:
530,0,Total Cargo Weight:
530,missing,Tire Pressure:
530,29.28,Frontal Area of Car:
574,38,Outside Temperature:
574,350,Total Passenger Weight:
574,50,Total Cargo Weight:
574,33,Tire Pressure:
574,26.91,Frontal Area of Car:
401,47,Outside Temperature:
401,165,Total Passenger Weight:
401,10,Total Cargo Weight:
401,missing,Tire Pressure:
401,28.63,Frontal Area of Car:
402,49,Outside Temperature:
402,165,Total Passenger Weight:
402,10,Total Cargo Weight:
402,missing,Tire Pressure:
402,28.63,Frontal Area of Car:
404,37,Outside Temperature:
404,165,Total Passenger Weight:
404,10,Total Cargo Weight:
404,missing,Tire Pressure:
404,28.63,Frontal Area of Car:
279,80,Outside Temperature:
279,130,Total Passenger Weight:
279,10,Total Cargo Weight:
279,missing,Tire Pressure:
279,29.28,Frontal Area of Car:
286,50,Outside Temperature:
286,170,Total Passenger Weight:
286,10,Total Cargo Weight:
286,30,Tire Pressure:
286,26.91,Frontal Area of Car:
315,34,Outside Temperature:
315,150,Total Passenger Weight:
315,100,Total Cargo Weight:
315,35,Tire Pressure:
315,29.28,Frontal Area of Car:
277,80,Outside Temperature:
277,130,Total Passenger Weight:
277,10,Total Cargo Weight:
277,missing,Tire Pressure:
277,29.28,Frontal Area of Car:
282,80,Outside Temperature:
282,130,Total Passenger Weight:
282,10,Total Cargo Weight:
282,missing,Tire Pressure:
282,29.28,Frontal Area of Car:
281,80,Outside Temperature:
281,130,Total Passenger Weight:
281,10,Total Cargo Weight:
281,missing,Tire Pressure:
281,29.28,Frontal Area of Car:
273,80,Outside Temperature:
273,130,Total Passenger Weight:
273,10,Total Cargo Weight:
273,missing,Tire Pressure:
273,29.28,Frontal Area of Car:
275,80,Outside Temperature:
275,130,Total Passenger Weight:
275,10,Total Cargo Weight:
275,missing,Tire Pressure:
275,29.28,Frontal Area of Car:
280,80,Outside Temperature:
280,130,Total Passenger Weight:
280,10,Total Cargo Weight:
280,missing,Tire Pressure:
280,29.28,Frontal Area of Car:
276,80,Outside Temperature:
276,130,Total Passenger Weight:
276,10,Total Cargo Weight:
276,missing,Tire Pressure:
276,29.28,Frontal Area of Car:
285,52,Outside Temperature:
285,235,Total Passenger Weight:
285,50,Total Cargo Weight:
285,missing,Tire Pressure:
285,37.57,Frontal Area of Car:
283,62,Outside Temperature:
283,500,Total Passenger Weight:
283,50,Total Cargo Weight:
283,missing,Tire Pressure:
283,37.57,Frontal Area of Car:
284,60,Outside Temperature:
284,235,Total Passenger Weight:
284,50,Total Cargo Weight:
284,missing,Tire Pressure:
284,29.28,Frontal Area of Car:
12,74,Outside Temperature:
12,150,Total Passenger Weight:
12,150,Total Cargo Weight:
12,44,Tire Pressure:
12,28.63,Frontal Area of Car:
274,80,Outside Temperature:
274,130,Total Passenger Weight:
274,10,Total Cargo Weight:
274,missing,Tire Pressure:
274,29.28,Frontal Area of Car:
111,74,Outside Temperature:
111,245,Total Passenger Weight:
111,50,Total Cargo Weight:
111,32,Tire Pressure:
111,29.28,Frontal Area of Car:
743,72,Outside Temperature:
743,265,Total Passenger Weight:
743,0,Total Cargo Weight:
743,missing,Tire Pressure:
743,29.28,Frontal Area of Car:
110,74,Outside Temperature:
110,245,Total Passenger Weight:
110,50,Total Cargo Weight:
110,32,Tire Pressure:
110,29.28,Frontal Area of Car:
11,74,Outside Temperature:
11,150,Total Passenger Weight:
11,150,Total Cargo Weight:
11,44,Tire Pressure:
11,28.63,Frontal Area of Car:
532,43,Outside Temperature:
532,196,Total Passenger Weight:
532,235,Total Cargo Weight:
532,29,Tire Pressure:
532,26.91,Frontal Area of Car:
491,54,Outside Temperature:
491,223,Total Passenger Weight:
491,0,Total Cargo Weight:
491,missing,Tire Pressure:
491,30.03,Frontal Area of Car:
411,55,Outside Temperature:
411,196,Total Passenger Weight:
411,238,Total Cargo Weight:
411,29,Tire Pressure:
411,26.91,Frontal Area of Car:
408,55,Outside Temperature:
408,196,Total Passenger Weight:
408,240,Total Cargo Weight:
408,29,Tire Pressure:
408,26.91,Frontal Area of Car:
493,55,Outside Temperature:
493,165,Total Passenger Weight:
493,0,Total Cargo Weight:
493,missing,Tire Pressure:
493,30.03,Frontal Area of Car:
492,51,Outside Temperature:
492,165,Total Passenger Weight:
492,0,Total Cargo Weight:
492,missing,Tire Pressure:
492,30.03,Frontal Area of Car:
407,55,Outside Temperature:
407,196,Total Passenger Weight:
407,240,Total Cargo Weight:
407,29,Tire Pressure:
407,26.91,Frontal Area of Car:
257,68,Outside Temperature:
257,140,Total Passenger Weight:
257,0,Total Cargo Weight:
257,missing,Tire Pressure:
257,26.91,Frontal Area of Car:
410,53,Outside Temperature:
410,196,Total Passenger Weight:
410,239,Total Cargo Weight:
410,29,Tire Pressure:
410,26.91,Frontal Area of Car:
533,43,Outside Temperature:
533,196,Total Passenger Weight:
533,238,Total Cargo Weight:
533,29,Tire Pressure:
533,26.91,Frontal Area of Car:
409,54,Outside Temperature:
409,196,Total Passenger Weight:
409,240,Total Cargo Weight:
409,29,Tire Pressure:
409,26.91,Frontal Area of Car:
541,37,Outside Temperature:
541,197,Total Passenger Weight:
541,240,Total Cargo Weight:
541,29,Tire Pressure:
541,26.91,Frontal Area of Car:
263,68,Outside Temperature:
263,140,Total Passenger Weight:
263,0,Total Cargo Weight:
263,missing,Tire Pressure:
263,26.91,Frontal Area of Car:
709,40,Outside Temperature:
709,215,Total Passenger Weight:
709,25,Total Cargo Weight:
709,35,Tire Pressure:
709,26.91,Frontal Area of Car:
698,50,Outside Temperature:
698,210,Total Passenger Weight:
698,0,Total Cargo Weight:
698,35,Tire Pressure:
698,26.91,Frontal Area of Car:
731,44,Outside Temperature:
731,215,Total Passenger Weight:
731,20,Total Cargo Weight:
731,35,Tire Pressure:
731,26.91,Frontal Area of Car:
729,40,Outside Temperature:
